abreviar	abreviação/abreviatura
cheirar	cheiro
compor	composição
consolar	consolo
copiar	cópia/cópia
criar	criação/criação
decidir	decisão
definir	definição
descobrir	descoberta
doer	dor
elevar	elevação
equilibrar	equilíbrio
experimentar	experiência
falsear	falsidade
falsificar	falsificação
filmar	filme
instalar	instalação
instruir	instrução
julgar	julgamento/julgamento
morder	mordedura/mordida
mudar	mudança/mudança
organizar	organização/organização/organização/organização
perfurar	perfuração
picar	picada
planejar	plano
presumir	presunção
publicar	publicação/publicação
questionar	questão
refinar	refinamento
resgatar	resgate
resolver	resolução
responder	resposta
resumir	resumo
somar	soma/soma
variar	variante

