abagunçar	desordenar/bagunçar
abaixar	reduzir/diminuir
abalar	deslocar/mover/mexer/enfraquecer
abalroar	colidir/atingir/bater/deslocar/mover
abanar	sacudir/tremer/agitar
abandonar	descontinuar/cessar/ceder/finalizar/desistir/acabar/terminar/parar/deixar/entregar/passar/dar/evadir-se/largar/descartar/alterar/fugir/sair/escapar/partir/deixar/mudar
abarcar	incluir/conter
abarrotar	completar/encher
abastardar	depravar/perverter/corromper/viciar/desvirtuar/subverter/aviltar/julgar/declarar
abastecer	prover/fornecer/suprir/entregar/dar
abater	matar
abduzir	arredar/puxar/tirar/capturar/tomar/pegar
abespinhar	encolerizar/irar/zangar/enraivecer
abjurar	repudiar/renunciar
abnegar	refrear/limitar/controlar
abocanhar	agarrar/segurar
abordar	discutir
aborrecer	desgostar/desagradar
abortar	ejetar/encerrar/expelir/expulsar/finalizar/concluir/liberar/terminar
abotoar	fixar/prender
abrandar	modificar/alterar/mudar
abranger	abarcar/incluir/conter/estender/continuar
abrasar	queimar
abraçar	principiar/encostar/iniciar/aceitar/começar/tocar
abreviar	encurtar/resumir/condensar/reduzir/diminuir/encurtar/encolher
abrigar	prover/abastecer/fornecer/suprir
abrilhantar	estar/ser
abrir	expor/exibir/apresentar/mostrar/prover/tornar/iniciar/virar/mudar/começar/dar
abrir-se	proferir/verbalizar/conversar/falar/dizer
absolver	desculpar/pronunciar/perdoar/rotular/julgar
absorver	interessar/focar
abster	refrear/limitar/controlar
abstrair	considerar/achar/ver
abundar	estar/ser
abusar	tratar/despender/gastar/esgotar
acabar	encerrar/agir/alterar/atuar/enfraquecer/finalizar/estar/ser/concluir/terminar/mudar/fazer
acabrunhar	desconcertar/perturbar/confundir
acalentar	amar
acalmar	conciliar/reconciliar/atenuar/amenizar/suprir/aliviar/satisfazer/melhorar
acalmar-se	tornar/virar/mudar
acalorar	tornar/virar/mudar
acamar	aprumar
acampar	morar/povoar/habitar/viver
acantonar	fraccionar/fracionar/repartir/fender/dividir/separar
acariciar	botar/afagar/pôr/colocar/carregar/afagar
acarpetar	tampar/cobrir
acarretar	abarcar/incluir/conter
acasalar	juntar/unir
acastanhar	cozinhar
acatar	obedecer
accionar	desafiar
aceitar	aturar/tolerar/consentir/aguentar/comprar/permitir/suportar/obter/adquirir/receber/deixar/balizar/topar/encerrar/finalizar/avaliar/experimentar/sofrer/estar/ser/concluir/julgar/receber/terminar
acelerar	acorrer/modificar/socorrer/alterar/apressar/assistir/auxiliar/viajar/ajudar/caminhar/correr/mudar/ir/andar/aprofundar/agir/intensificar/atuar/fazer
acenar	deslocar/mover/mexer/gesticular
acender	combustir/conflagrar/confeccionar/fabricar/tornar/construir/virar/mudar
acentuar	enunciar/pronunciar/articular/exprimir/expressar/mostrar/falar/dizer
acerar	aprofundar/intensificar
acercar	vir
acercar-se	agir/atuar/fazer
acertar	golpear/modificar/alterar/mudar/bater/alienar/dispor/tornar/virar/mudar
acessar	re-adquirir/reconquistar/reganhar/recuperar/encontrar/alcançar/chegar
acetilar	modificar/alterar/mudar/alterar/mudar
achar	antecipar/raciocinar/cogitar/comprar/refletir/obter/pensar/adquirir/receber/avistar/balizar/conceitualizar/divisar/reganhar/conceber/alcançar/determinar/avaliar/julgar/chegar/encontrar/ver
achar-se	amadurecer
achatar	modelar/formar/deformar
acidificar	tornar/virar/mudar
acimentar	tampar/cobrir
acinzentar	descolorir/colorir
acionar	desafiar
acirrar	acrescer/acrescentar/crescer/aumentar
aclamar	enaltecer/gesticular/elogiar/louvar
acobertar	inocentar/omitir/tampar/tapar/absolver/ocultar/encobrir/esconder
acocorar	sentar-se/sentar
acocorar-se	sentar-se/sentar
acolchetar	fixar/prender
acolher	abrigar/amparar/cumprimentar/saudar
acometer	principiar/superar/iniciar/começar
acomodar	modelar/formar/estabilizar-se/provisionar/prover/abastecer/fornecer/satisfazer/servir
acompanhar	viajar/caminhar/tocar/ir/andar/conhecer/saber/entender
aconchegar	botar/pôr/colocar/carregar
aconchegar-se	botar/pôr/colocar/carregar
aconselhar	discutir
acontecer	transmutar/ocorrer/suceder/transformar/mudar/passar/alterar/mudar
acoplar	juntar/unir
acordar	aperfeiçoar/modificar/alterar/deslocar/mover/mexer/melhorar/mudar/alarmar/alertar/tornar/virar/mudar
acorrentar	deter/confinar/amarrar/atar/reter/prender/manter
acorrer	apoiar/suportar/ajudar
acortinar	prover/abastecer/fornecer/suprir
acostar	vir
acostumar	modificar/alterar/mudar/acostumar-se/habituar/habituar-se
acostumar-se	modificar/alterar/mudar
acotovelar	empurrar/forçar/propulsionar/empurrar
acovardar	vergar/curvar/dobrar/torcer
acovardar-se	vergar/curvar/dobrar/torcer
acreditar	antecipar/crer/pensar/achar/crer/aceitar
acrescentar	acrescer/fundir/combinar/crescer/contar/misturar/falar/dizer/aumentar/acrescer/somar/adicionar
acrescer	acrescentar/crescer/contar/falar/dizer/aumentar
acromatizar	modificar/alterar/mudar
activar	modificar/alterar/mudar/pioneirar/empreender/iniciar
actualizar	amenizar
actuar	desempenhar/apresentar/fazer/exercer/servir
acuar	manobrar/canalizar/guiar/dirigir
aculturar	lustrar/polir/refinar
acumular	botar/acrescer/dispor/arranjar/acrescentar/reter/crescer/guardar/pôr/segurar/colocar/carregar/manter/aumentar/progredir/desenvolver
acusar	comunicar/transmitir
adaptar	modificar/alterar/variar/mudar/adequar/ajustar
adaptar-se	corresponder/combinar/concordar/alterar/mudar
adequar	modificar/alterar/variar/mudar
adequar-se	corresponder/combinar/concordar/alterar/mudar
aderir	esposar/adoptar/adotar/encostar/grudar/juntar/tocar
adiantar	modificar/alterar/mudar
adiar	aguardar/reter/esperar
adicionar	acrescer/modificar/enumerar/alterar/acrescentar/crescer/contar/falar/dizer/mudar/aumentar/computar/constituir/acrescer/enquadrar/calcular/somar/acrescentar/compor/estabelecer/registar/estar/ser/registrar
adivinhar	aperceber/aperceber-se/solucionar/perceber/resolver/entender/computar/calcular/especular
adjudicar	resolver/decidir/causar/provocar/dar
administrar	lidar/cuidar/guiar
admirar	prezar/respeitar/venerar/mirar/observar/olhar/ver
admitir	consentir/permitir/aceitar/deixar/topar/transferir/julgar/transmitir/declarar/trazer/aceitar/ficar/servir/pegar
admoestar	alertar/avisar/advertir
adoecer	decair/piorar
adoentar	decair/piorar
adolescer	progredir/desenvolver
adoptar	seleccionar/selecionar/escolher/topar/aceitar
adorar	amar
adornar	modificar/alterar/dispor/arranjar/mudar/estar/ser
adotar	seleccionar/selecionar/escolher/topar/alterar/aceitar/mudar
adquirir	comportar-se/agir/comprar/atuar/obter/parecer/receber/atingir/alterar/mudar
adubar	tampar/cobrir/transmudar/converter/transformar
adular	persuadir/enaltecer/elogiar/louvar/bajular
adulterar	inverter/reverter/tornar/virar
adumbrar	descrever
aduzir	arredar/testificar/atestar/evidenciar/testemunhar/puxar/provar/mostrar/tirar
advertir	alertar/avisar/informar
advir	redundar/sobrevir/resultar/suceder/seguir
advocar	aconselhar/exortar/impelir/urgir/sugerir/propor
advogar	exortar/impelir/urgir
aerar	modificar/alterar/mudar/secar/enxugar
aerolizar	salpicar/espalhar/dispersar/espalhar
aerotransportar	transportar/levar/carregar
afagar	tratar/acariciar
afastar	deslocar/mover/conservar/reter/estar/manter
afastar-se	sair/partir/deixar
afectar	modificar/alterar/mudar/agir/atuar/fazer
afeminar	interagir
aferir	distinguir/diferenciar/separar
aferroar	lesionar/lesar/ferir/machucar
aferrolhar	grudar/juntar
afetar	impactar/modificar/alterar/mudar/agir/atuar/fazer
afiar	modificar/alterar/mudar/aprofundar/intensificar/deformar
afigurar	conjeturar/conjecturar/imaginar/pensar
afiliar	ingressar/juntar-se/associar-se
afiliar-se	ingressar/juntar-se/associar-se
afinar	acertar/ajustar/corrigir
afirmar	jurar/reinvindicar/asseverar/sustentar/manter
afivelar	fixar/prender
afixar	anexar/juntar/unir
afligir	disturbar/emocionar/perturbar/avariar/desconcertar/danificar/perturbar/confundir
afligir-se	sofrer
aflorar	surgir/aparecer
afocinhar	cavar
afofar	entumescer/inflar/inchar
afogar	perecer/falecer/expirar/matar/morrer/estar/ser/cobrir
afogar-se	perecer/falecer/expirar/morrer
aforizar	comunicar/transmitir
afrancesar	modificar/alterar/mudar/tornar/virar/mudar
afrontar	resistir
afrouxar	modificar/alterar/mudar
afugentar	deslocar/mover
afundar	aprumar/inundar/deslocar/mover/descer/baixar/cair
afunilar	deslocar/mover
agachar	sentar-se/sentar/vergar/curvar/dobrar/torcer
agarrar	capturar/segurar/pegar/tomar/pegar
agasalhar	tornar/virar/mudar
agastar	desgostar/desagradar
