abastecer	abastecimento
acrescentar	acréscimo
adquirir	aquisição
agitar	agitação
ajudar	ajuda
alterar	alteração
andar	andada
aplicar	aplicação
apostar	aposta
ascender	ascensão
assaltar	assalto
assistir	assistência
atrasar	atraso
aumentar	aumento
auxiliar	auxílio
bater	batida
beijar	beijo
caminhar	caminhada
cancelar	cancelamento
castigar	castigo
caçar	caçada
celebrar	celebração
colaborar	colaboração
colidir	colisão
colocar	colocação
comentar	comentário
começar	começo
comprimir	compressão
conectar	conexão
confortar	conforto
consertar	conserto
consolar	consolação/consolo
convidar	convite
cooperar	cooperação
correr	corrida
crescer	crescimento
criar	criação
danificar	dano
dançar	dança
debater	debate
decidir	decisão
decrescer	decréscimo
demitir	demissão
demonstrar	demonstração
descobrir	descobrimento/descoberta
descrever	descrição
desejar	desejo
desenvolver	desenvolvimento
desperdiçar	desperdício
destruir	destruição
deteriorar	deterioração
diminuir	diminuição
discutir	discussão
disputar	disputa
dividir	divisão
elevar	elevação
emprestar	empréstimo
empurrar	empurrão
enganar	enganação
entrar	entrada
escapar	escapada
escolher	escolha
esmagar	esmagamento
experimentar	experimento/experiência
explodir	explosão
explorar	exploração
exportar	exportação
fabricar	fabricação
falsificar	falsificação
ferir	ferimento
fornecer	fornecimento
fugir	fuga
herdar	herança
iluminar	iluminação
imaginar	imaginação
impulsionar	impulsão
iniciar	início
inscrever	inscrição
interrogar	interrogação/interrogatório
interromper	interrupção
inventar	invenção
julgar	juiz
legislar	legislação
levantar	levantamento
limitar	limitação
lutar	luta
marchar	marcha
melhorar	melhoramento/melhoria
mensurar	mensuração
modificar	modificação
morrer	morte
mudar	mudança
negar	negação
obstruir	obstrução
obter	obtenção
orar	oração
organizar	organização
pagar	pagamento
participar	participação
partir	partida
pedir	pedido
penalizar	penalização
perceber	percepção
perguntar	pergunta
permanecer	permanência
perseguir	perseguição
persuadir	persuasão
preparar	preparação
propor	proposição
proteger	protecção/proteção
pular	pulo
punir	punição
puxar	puxão
questionar	questão
realizar	realização
recompensar	recompensa
recuperar	recuperação
reduzir	redução
registrar	registro
regressar	regresso
rejeitar	rejeição
relacionar	relação
remunerar	remuneração
reparar	reparo/reparação
representar	representação
resolver	resolução
respirar	respiração
responder	resposta
restringir	restrição
retornar	retorno
rezar	reza
romper	rompimento
saltar	salto
salvar	salvamento/salvação
selecionar	selecção/seleção
socorrer	socorro
solicitar	solicitação
supor	suposição
tentar	tentativa
trair	traição
transmitir	transmissão
transportar	transporte
tratar	tratamento
treinar	treino
utilizar	utilização
variar	variação
vender	venda
votar	votação/voto/votação
