1940s	decênio/década
3d	película/cinema/filme/produção
a	caracter/caractér/carácter/letra
aardvark	mamífero
aardwark	mamífero
ab-rogação	cancelamento
aba	fronteira/limite/cobertura/capa
abacate	fruta
abacaxi	erva/fruta
abadia	igrejas/igreja/templo/jurisdição
abaixo-assinado	mensagem/tópico/assunto/conteúdo
abandono	rejeição/eliminação/disposição
abastecimento	atividade/ocupação
abate	tarefa/trabalho
abatedouro	prédio/edifício
abatimento	decréscimo/alteração/modificação/redução/variação/queda/diminuição/mudança/declínio/diminuição
abbadia	jurisdição
abcesso	sintoma
abdome	anatomia
abducção	mudança
abdução	mudança
abdómen	anatomia
abdômen	anatomia
abelha	vespa/himenópteros
abelha-macha	abelha/vespa
abelha-mestra	sota/rainha
abelha-operária	operário
abelha-rainha	sota/rainha
abelhão	abelha/vespa
aberrante	anomalia
aberração	anormalidade
abertura	mudança/artefato/sequência/sucessão/início/começo/princípio
abismo	vão/fenda
abjuração	negação
ablação	erosão
ablução	limpada/ritual/limpeza
abnegação	colaboração/cooperação
aboboreira	verdura/hortaliça/legume/vegetal
abolicionismo	doutrina/filosofia
abolimento	termino/terminação/conclusão
abolição	termino/terminação/conclusão
abominação	nojo/asco/repugnância/transgressão/náusea/ódio/repulsa/aversão
abono	pagamento/recompensa
abordagens	via/estrada/caminho
abortador	dr./doutor/médico
abortamento	termino/terminação/desastre/conclusão
abortação	termino/terminação/conclusão
aborteiro	dr./doutor/médico
aborto	termino/terminação/desastre/conclusão
abotoadura	joalharia/joalheria/jóia
abraquia	anormalidade
abrasivo	materiais
abrasão	erosão
abraçadeira	encosto/apoio/suporte
abreviatura	redução/diminuição
abricó	fruta
abridor	alguém/indivíduo/alma/pessoa
abrigo	alojamento/edifício/tecido/estrutura/casa/proteção/segurança/capa
abrocomidae	roedor
abrogador	autoridade
abscesso	sintoma
absenteísmo	ausência
absentismo	ausência/falta
absentista	turista/viajante
abside	nicho
absolutismo	ascendencia/dominancia/ideologia/superioridade/controle/domínio
absolutista	adepto/discípulo/apóstolo/seguidor/aluno/estudante
absoluto	abstracção/abstracto/abstrato
absorção	atividade/ação
abstemia	abstinência
abstracto	conceito/concepção/idéia/ideia
abstracção	conceito/concepção/idéia/ideia
abstrato	conceito/concepção/idéia/ideia
abstração	entidade
absurdidade	bobeira
absurdo	situação/condição
abuso	maltrato/uso/utilização
abóbada	telhado/teto
abóbora	verdura/hortaliça/legume/vegetal/parreira/cipó/videira
acabador	trabalhador
academia	estabelecimento/colégio/escola
acadêmico	educacionista/intelecto/pedagogo/educador/intelectual
acalento	cantiga/canção
acampamento	alojamento/locação/sítio/abrigo/lugar/casa/reunião
acampamentos	reunião
acanthocephala	filo
acantita	minérios/mineral
acanto	erva
acasalamento	transa/sexo
acefalia	anormalidade
acefalismo	anormalidade
aceitação	atitude/situação/condição
aceite	consenso/pacto/aliança/conformidade/aprovação/acordo
aceleração	alteração/modificação/variação/mudança/traslado/deslocamento/movimento
acelerómetro	metro
acelerômetro	metro
acelga	folhas/vegetal
acendedor	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
aceno	sinal/gesto/gestos/gesto/inclinação
acepipe	petisco/guloseima
acepção	significância/significação/significado/intenção
acesso	ingresso/via/direito/entrada/estrada/caminho
acessória	associado
acessório	componente/parte/vestimenta/vestuário/traje/roupa/vestido
acetanilida	analgésicos/analgésico
acetato	sais/sal
achado	descobrimento/descoberta
aciaria	casademoinho/fábrica/manufatura/usina
acidente	ocorrente/ocorrência/acontecimento/infortúnio/azar
acidificação	atividade/ação
ack-ack-ack	revóvel/revólver/arma
aclamação	aplauso/aprovação
aclive	declive/declives/subida/encosta/costa/ladeira
acloridria	transtorno/distúrbio/bagunça/doença
acolhida	ingresso/entrada
acolhimento	ingresso/aquisição/entrada
acomodação	ajuste/alteração/modificação
acompanhador	instrumentalista/instrumentista/tocador/músico
acompanhamento	protecção/proteção/prato/obra/atividade/inspecionar/ocupação/examinar/trabalho
acompanhante	instrumentalista/instrumentista/tocador/músico/turista/camarada/companheiro/viajante/amigo/colega
aconselhamento	mensagem/tópico/assunto/conteúdo
acontecimento	ocorrente/ocorrência/evento/fato
acoplamento	conector/transa/sexo/ligação
acordeonista	instrumentalista/instrumentista/tocador/músico
acordo	consenso/concórdia/colaboração/cooperação/afirmação/consenso/declaração/harmonia/pacto/aliança/paz/conformidade/aprovação
acostamento	aba/borda/fronteira/limite
acrescentamento	quantidade/número
acrilato	sais/sal
acrobata	atleta/desportista
acréscimo	incremento/crescimento/aumento
acta	ato
actinometria	metro
actinídeo	agrupação/conjunto/grupo
actinídeos	agrupação/conjunto/grupo
activação	início/começo
actividade	situação/condição/estado
activos	posse/propriedade/bem
actor	intérprete
actriz	actor/ator/artista/intérprete
actualidade	tempo
actualização	notícias/informação
acume	astucidade/sagacidade/astúcia
acumulação	incremento/acréscimo/crescimento/aumento/acúmulo/aumento
acupuntura	tratamento
acurácia	qualidade
acácia	árvore/madeira
acção	feito/ato/ação/acontecimento/evento/fato/situação/condição/estado
acólito	instrumentalista/instrumentista/tocador/músico
acúfeno	sintoma
acúmulo	colecção/coleção/aglomeração/agrupação/acumulação/conjunto/aumento/grupo
adamantino	carbono
adaptabilidade	habilidade
adaptador	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
adaptação	ajuste/alteração/modificação
adendo	texto
adenite	inflamação
adepto	seguidor
adequabilidade	qualidade
adequação	qualidade
aderência	apoio/suporte
adesão	apoio/suporte
adeus	reconhecimento
adiabático	atividade/ação
adiamento	retardar/atraso/interrupção/adiar/suspensão/pausa
adiar	ociosidade
aditivos	adição/melhoria
adição	componente/parte/aumento
adjudicator	alguém/indivíduo/alma/pessoa
adjudicação	critica/juízo/julgamento
administrador	líder/gerente/cabeça/chefe/liderança/responsável
administração	gestão/comunidade/organização/grupo
admirador	alguém/proponente/indivíduo/defensor/advogado/alma/pessoa/representante/amado/amante
admiração	espanto/gosto/surpresa/afeição
admissão	ingresso/reconhecimento/entrada
admitância	direito
admoestação	convencimento/persuasão/catequizar
adocracia	organização
adolescente	juvenil/menor/jovem
adolescentes	época/período
adolescência	imaturidade/época/período
adoptada	alguém/indivíduo/alma/pessoa
adoptado	alguém/indivíduo/alma/pessoa
adorador	amado/amante
adorar	adoração
adoração	atividade/ocupação
adornamento	decoração
adorno	artefato
adotante	genitor/progenitor/pai/mãe
adoçante	aromatizante/condimento/tempero
adranalina	hormona/hormônio/hormônios
adrenalina	hormona/hormônio/hormônios
adro	praça
adsorção	atividade/ação
adstringência	medicamento/remédio
adulteração	delito/transgressão/mudança
adulto	alguém/criatura/animal/besta/bicho/indivíduo/alma/pessoa/ser
adução	mudança
advento	temporada/estação/tempo
adversidade	infortúnio/azar
