aba	acostamento/berma
abalo	zanga/consternação/espírito/ira/cólera/temor/raiva/terror/humor/medo/alegria
abandonar	demitir-se/quitar/resignar/renunciar
abarcar	abranger/incluir/compreender/conter/conter/ter
abastecer	apetrechar/aparelhar/equipar/suprir/alimentar/servir/servir/carregar/dar
abertura	escapatória/racha/saída/fresta/janela/porta/buraco
abjuração	retirada
abominação	revulsão/repulsa/aversão
abordagens	boca/entrada
abordar	endereçar/lidar/tratar/falar/cobrir
abrigo	morada/apartamento/aposento/moradia/domicílio/residência/habitação/lar/casa
abster	jejuar
abster-se	jejuar
abstinência	inibição
abstração	mensagem/comunicação
acadêmico	catedrático/professor
aceitar	resignar-se/submeter-se/adoptar/reconciliar/resignar/consentir/consentir/adotar/submeter/permitir/concordar/deixar
acelerar	correr
acendedor	fósforo
aceno	numeral/vareta/símbolo/selo/número
acertar	estapear/sintonizar/chibatar/açoitar/chicotear/afinar/regular/ajustar/bater/bater
acesso	boca/entrada
achar	prezar/respeitar/venerar/enumerar/situar/localizar/contar/descobrir/encontrar
acidente	coincidência
acobertar	disfarçar/mascarar/encobrir/encobrir/esconder/esconder
acontecer	coincidir
acontecimento	cerimónia/revés/alteração/incidente/ocorrência/quebra/acção/cerimônia/chegada/feito/instância/maravilha/milagre/milagre/modificação/ocasião/variação/coincidência/evento/colapso/acidente/caso/vitória/ato/conclusão/exemplo/resultado/ação/fim/festa/final/problema/mudança
acordar	firmar/conciliar/reconciliar/concordar
acordo	concessão/consenso/consenso
acorrer	assistir/ajudar/servir
acreditar	crer/engulir
acrescentamento	aumento
acréscimo	acumulação
acta	interdição/proibição
actualidade	momento
acumulação	existências/acúmulo
acção	critica/trâmite/agressão/interação/parto/conduta/desempenho/feito/juízo/performance/conquista/façanha/rejeição/hostilidade/oposição/recuperação/julgamento/corrente/execução/partida/produção/realização/realização/curso/caminho
acúmulo	biota/exposições/galáxia/suma/transito/tránsito/trânsito/embalagem/embrulho/flora/guarda-roupa/nebulosa/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/monte/tesouro/lei/montão/pacote/combinação/exposição/pilha/jogo/grupo/grupo
adaptar	domar/domesticar/naturalizar/cultivar
adequar	domar/domesticar/naturalizar/cultivar
adiar	delongar/pospor/postergar/protelar/prorrogar/procrastinar/atrasar
adição	anexo/anexo/asa
adjudicator	magistrado/jurista/juiz
administrador	gestor/director/dirigente/diretor/gerente
administrar	chefiar/supervisar/supervisionar/conduzir
administração	finança/tratamento
adoração	carola
adorno	laço/ornamento
adoçante	mel/açúcar
adquirir	beneficiar-se/re-adquirir/beneficiar/herdar/reconquistar/reganhar/auferir/auferir/colecionar/lucrar/recolher/apanhar/comprar/recuperar/coletar/ganhar/ganhar/capturar/obter/obter/encontrar/reunir/atingir/pegar
advertir	ameaçar
advogado	porta-voz/representante
aeroplano	bombardeiro
aeroporto	aeródromo
aeródromo	aeroporto
afagar	lamber
afectar	estressar/tensionar
afecção	apego/afeição
afeição	predileção/apego/admiração/preferência/tendência
afetar	estressar/comover/disturbar/tensionar/emocionar/impressionar/perturbar
afetividade	apego/afeição
afeto	apego/afeição
afiguração	cenografia/foto/mapa/retrato/cópia/reprodução/fotografia/esquema/imagem/imagem/imagem/figura/figura/ilustração/ilustração/modelo/desenho/desenho
afirmar	clamar/declarar
afirmação	anunciação/declaracão/proclamação/cotação/emenda/explanação/promulgação/reservas/comentário/proposição/asserção/estimativa/orçamento/promessa/compromisso/explicação/fórmula/termo/declaração/declaração/condição/garantia/resposta/verdade/resultado/sumário/anúncio/resumo/observação
aflição	tribulação
agarrar	abocanhar/apreender/beliscar/mordiscar/espremer/morder/apanhar/apertar/furtar/capturar/roubar/prender/segurar/segurar/pegar
agente	detective/detetive/policial/tira/substituto/representante
agir	troçar/atrever/atrever-se/ousar/participar/premiar/virar-se/voluntariar/caçoar/recompensar/repagar/compartilhar/aguentar/lidar/sobreviver/tentar/procurar/oferecer
agitar	abanar/flabelar/ventilar/estremecer/tremular/tiritar/tremer
aglomeração	biota/exposições/galáxia/suma/transito/tránsito/trânsito/aglomerado/bando/embalagem/embrulho/flora/guarda-roupa/nebulosa/torrão/tráfego/trânsito/vegetação/biologia/circulação/cúmulo/jurisprudência/mão/punhado/monte/tesouro/acúmulo/lei/montão/pacote/combinação/exposição/pilha/pedaço/bola/jogo/grupo/grupo/grupo/grupo
agressão	violência/força
agrupação	colecção/coleção/linhagem/aglomeração/raça/acúmulo/população/gente/pessoal/sistema/organização/povo/povo
aguardar	adiar
