abagunçar	desordenar/bagunçar
abalroar	deslocar/mover
abandonar	descontinuar/cessar/ceder/finalizar/desistir/acabar/terminar/parar/deixar/entregar/passar/dar/descartar/alterar/mudar
abastecer	entregar/dar
abater	decrescer/desabar/minguar/diminuir/dividir/cortar
abespinhar	encolerizar/irar/zangar/enraivecer
abocanhar	agarrar/segurar
abordar	discutir
aborrecer	agastar/aporrinhar/vexar/chatear/amolar/molestar/importunar/perturbar/irritar/incomodar
abortar	encerrar/finalizar/concluir/terminar
abranger	abarcar/incluir/conter
abreviar	reduzir/diminuir
abrigar	prover/abastecer/fornecer/suprir
abrilhantar	estar/ser
abrir	desfazer/tornar/virar/mudar
absolver	pronunciar/rotular/julgar
absorver	interessar
acabar	cessar/encerrar/finalizar/concluir/terminar/parar
acalmar-se	tornar/virar/mudar
acariciar	afagar
acasalar	juntar/unir
aceitar	consentir/comprar/permitir/obter/adquirir/receber/deixar/balizar/topar/encerrar/reagir/finalizar/responder/avaliar/estar/ser/concluir/julgar/receber/terminar
acelerar	apressar/viajar/caminhar/correr/ir/andar/aprofundar/agir/intensificar/atuar/fazer
acenar	gesticular
acender	tornar/virar/mudar
acentuar	exprimir/expressar/mostrar
acercar	vir
acertar	modificar/alterar/mudar/tocar/bater/tornar/virar/mudar
acessar	re-adquirir/reconquistar/reganhar/recuperar/encontrar
achar	antecipar/comprar/obter/pensar/adquirir/receber/balizar/conceitualizar/conceber/avaliar/julgar
achatar	modelar/formar
acolher	abrigar/amparar
acomodar	estabilizar-se/satisfazer
acompanhar	viajar/caminhar/ir/andar/associar
aconselhar	declarar
acontecer	ocorrer/suceder/passar
acoplar	juntar/unir/ligar/reunir
acordar	aperfeiçoar/melhorar/tornar/virar/mudar
acorrer	apoiar/suportar/ajudar
acostar	vir
acostumar	modificar/alterar/mudar
acostumar-se	modificar/alterar/mudar
acotovelar	propulsionar/empurrar
acovardar	vergar/curvar/dobrar/torcer
acovardar-se	vergar/curvar/dobrar/torcer
acreditar	aceitar
acrescentar	acrescer/crescer/aumentar
acrescer	acrescentar/crescer/aumentar
aculturar	lustrar/polir/refinar
acumular	botar/acrescer/acrescentar/crescer/pôr/colocar/carregar/aumentar
adaptar	modificar/alterar/variar/mudar
adaptar-se	corresponder/combinar/concordar
adequar	modificar/alterar/variar/mudar
adequar-se	corresponder/combinar/concordar
aderir	encostar/grudar/juntar/tocar
adiar	aguardar/reter/esperar
adicionar	acrescer/modificar/alterar/acrescentar/crescer/mudar/aumentar/estar/ser
adivinhar	solucionar/resolver/computar/calcular
adjudicar	causar/provocar/dar
administrar	tratar/lidar/cuidar/guiar
admirar	mirar/observar/olhar/ver
admitir	consentir/confessar/permitir/reconhecer/deixar/topar/prognosticar/transferir/predizer/prever/avaliar/transmitir/trazer/aceitar/considerar/achar
adoecer	decair/piorar
adoentar	decair/piorar
adoptar	seleccionar/selecionar/escolher
adornar	ornar/empetecar/enfeitar/ornamentar/embelezar/decorar
adotar	seleccionar/selecionar/escolher
adquirir	comportar-se/agir/comprar/atuar/obter/parecer/receber/alterar/mudar
adular	enaltecer/elogiar/louvar
advertir	informar
advocar	aconselhar/sugerir/propor
